key;joiningdate;surname;forename;group;newsletter
GI-103134; 1987-12-06; Demri; Claudi; EMERITUS; false
GI-102695; 1988-03-16; Picel; Wilmer; REDUCED; false
GI-104256; 1985-11-19; Pramanik; Uta; FULL; false
GI-100064; 1987-07-06; Chinin; Jouko; REDUCED; true
GI-103338; 1993-07-09; Improta; Ugo; FULL; true
GI-103630; 1988-08-30; Takanami; Duke; FULL; true
GI-103606; 1994-09-16; Feinberg; Conrado; EMERITUS; false
GI-108443; 1995-04-10; Papadias; Yaghout; FULL; false
GI-103434; 1993-08-17; Bresenham; Isaac; EMERITUS; false
GI-107808; 1989-07-20; Openshaw; Sastry; FULL; false
GI-107373; 1991-08-21; Duclos; Yagil; REDUCED; true
GI-102754; 1985-06-15; DeMori; Howell; REDUCED; true
GI-100972; 1998-07-18; Siepmann; Guther; REDUCED; true
GI-108107; 1990-10-28; Hedayat; Hyuncheol; EMERITUS; false
GI-103386; 1987-10-28; Kinley; Masadi; EMERITUS; true
GI-101608; 1990-10-20; Taubenfeld; Serap; FULL; true
GI-108651; 1988-04-26; Rahier; Florina; FULL; true
GI-106956; 1987-09-18; Honglei; Vishwani; REDUCED; false
GI-104023; 1986-06-16; Jakobus; Gurbir; REDUCED; true
GI-108877; 1988-09-10; Randi; Eben; STUDENT; true
GI-105228; 1993-10-24; Bennis; Hidefumi; REDUCED; true
GI-107515; 1988-06-25; Dayana; Sreekrishna; STUDENT; true
GI-106815; 1985-10-28; Barriga; Kinh; REDUCED; false
GI-106940; 1986-04-09; Snyers; Steen; STUDENT; false
GI-107185; 1988-06-04; Sluis; Qiwen; STUDENT; true
GI-101420; 1995-01-01; Bolsens; Tiina; REDUCED; false
GI-109958; 1985-11-12; Serdy; Mostafa; REDUCED; false
GI-100683; 1993-02-08; Kobuchi; Keiichiro; REDUCED; false
GI-108295; 1987-02-19; Wrigley; Parto; STUDENT; true
GI-106079; 1990-06-24; Winter; Gudjon; REDUCED; false
GI-102167; 1993-09-13; Compeau; Xudong; FULL; true
GI-100447; 1988-03-07; Nergos; Taiji; FULL; true
GI-106580; 1992-05-07; Fiutem; Kristin; EMERITUS; false
GI-106385; 1989-02-02; Zaumen; Keiichiro; FULL; false
GI-100431; 1987-02-15; Aloia; Fatemeh; FULL; false
GI-107269; 1987-10-09; Jiang; Mana; EMERITUS; false
GI-102403; 1990-10-16; Deville; Gritta; EMERITUS; true
GI-108742; 1988-02-01; Schiettecatte; Shahid; REDUCED; false
GI-103965; 1991-12-05; Fetvedt; Hilari; EMERITUS; true
GI-106453; 1988-08-07; Chorvat; Uri; STUDENT; true
GI-109095; 1993-04-24; Bharadwaj; Taegyun; FULL; false
GI-101194; 1991-04-03; Pews; Duro; EMERITUS; false
GI-100737; 1986-02-20; Frezza; Elvia; EMERITUS; false
GI-107873; 1992-05-24; Lakshmanan; Otilia; REDUCED; true
GI-106371; 1986-01-03; Veeraraghavan; Yurii; FULL; false
GI-109578; 1987-05-07; Nivat; Anwar; FULL; true
GI-102088; 1991-12-31; Isaac; Waiman; REDUCED; false
GI-104641; 1991-11-25; Ligten; Magy; FULL; false
GI-107613; 1987-01-26; Goldhammer; Cheong; FULL; true
GI-108120; 1991-07-20; Pleszkun; Goa; FULL; true
GI-103907; 1994-12-25; Zastre; Udi; EMERITUS; false
GI-107254; 1995-05-08; Llado; Nikolaos; EMERITUS; true
GI-104415; 1995-05-28; Serot; Shahab; FULL; true
GI-106901; 1987-11-27; Veevers; Shigeu; FULL; false
GI-105603; 1994-07-14; Pintelas; Yongqiao; EMERITUS; true
GI-105642; 1989-08-02; Butterworth; Christoper; STUDENT; true
GI-109729; 1992-12-06; Valette; Hitomi; EMERITUS; false
GI-104073; 1993-11-01; Peek; Aram; FULL; true
GI-100357; 1994-10-17; Kragelund; Marke; FULL; true
GI-108296; 1993-10-21; Beerel; Paraskevi; REDUCED; false
GI-102131; 1989-12-22; Sidou; Paddy; STUDENT; false
GI-103652; 1997-03-11; Sadowsky; Aran; FULL; true
GI-108780; 1986-07-09; Isard; Pranay; FULL; false
GI-106977; 1985-10-26; Gerlach; Hercules; EMERITUS; true
GI-108242; 1996-08-25; Randi; Edwin; REDUCED; false
GI-107692; 1986-02-11; Khalid; Susanta; FULL; true
GI-109586; 1986-10-23; Bazzichi; Billie; FULL; false
GI-106368; 1995-09-07; Armand; Tomoyuki; FULL; true
GI-106507; 1991-04-07; Comte; Anestis; EMERITUS; true
GI-109471; 1988-12-06; Randt; Alassane; STUDENT; true
GI-109525; 1985-11-29; Katiyar; Mabry; EMERITUS; true
GI-104272; 1988-01-09; Rosay; Goa; FULL; false
GI-104680; 1985-02-12; Birjandi; Adel; REDUCED; true
GI-105236; 1992-10-09; Schaad; Youssef; FULL; false
GI-106759; 1990-10-26; Rosen; Ronnie; REDUCED; true
GI-107896; 1988-09-14; Ushiama; Chirstian; EMERITUS; false
GI-106544; 1986-03-25; Benantar; Sasan; FULL; true
GI-108619; 1986-03-31; Karlin; Sashi; FULL; false
GI-106719; 1993-03-18; Stavenow; Hidekazu; EMERITUS; false
GI-109435; 1987-05-27; Hanratty; Syozo; FULL; false
GI-104345; 1995-09-09; Deville; Rasikan; FULL; true
GI-100632; 1990-12-24; Trystram; Moty; FULL; false
GI-105207; 1988-03-15; Bellone; Fuqing; STUDENT; false
GI-105293; 1991-11-23; Ellozy; Yolla; STUDENT; false
GI-102899; 1986-02-27; Geffroy; Mabry; FULL; false
GI-102251; 1986-01-06; Kusalik; Feiyu; EMERITUS; true
GI-105123; 1994-01-02; Bresenham; Denise; FULL; false
GI-100652; 1991-03-09; Bail; Xuedong; STUDENT; false
GI-101467; 1992-12-29; Holburn; Dzung; REDUCED; true
GI-107205; 1985-11-02; Griswold; Pohua; FULL; false
GI-105571; 1986-04-11; Schwabacher; Augustine; STUDENT; true
GI-106871; 1988-10-04; Lueh; Tonia; EMERITUS; false
GI-103930; 1992-01-06; Bail; Gino; FULL; false
GI-100422; 1986-06-07; Kusalik; Stepehn; EMERITUS; false
GI-101958; 1990-07-25; Merle; Nectarios; REDUCED; false
GI-109025; 1985-10-27; Erez; Huai; EMERITUS; false
GI-103479; 1986-03-23; Beidas; Sanjit; FULL; true
GI-104970; 1992-04-02; Etalle; Vitaly; FULL; true
GI-102608; 1996-02-20; Rodham; Sangeeta; STUDENT; true
GI-109821; 1993-08-29; Nilsson; Hatem; STUDENT; false
GI-109510; 1988-01-06; Yetto; Sakthirel; STUDENT; true
GI-109284; 1990-07-13; Lakshmanan; Fei; EMERITUS; true
GI-100010; 1986-09-12; Perez; Terresa; REDUCED; false
GI-107256; 1987-03-03; Auria; Toney; REDUCED; false
GI-102806; 1988-11-03; Schieder; Chaitali; FULL; false
GI-108876; 1987-07-19; Haraldson; Domenick; REDUCED; true
GI-103578; 1987-12-27; Staudhammer; Pascal; FULL; true
GI-108198; 1994-11-05; Decaestecker; Serge; STUDENT; true
GI-105994; 1992-01-24; Anandan; Gift; EMERITUS; true
GI-106389; 1995-12-19; Munro; Mayuko; EMERITUS; true
GI-100593; 1990-06-05; Reinhard; Yucel; REDUCED; false
GI-102420; 1986-08-28; Benzaken; Arumugam; STUDENT; true
GI-100871; 1993-06-10; Merks; Uli; STUDENT; true
GI-103855; 1986-08-14; Ventosa; Ashish; REDUCED; true
GI-105768; 1988-06-22; Validov; Mitchel; FULL; false
GI-103518; 1991-07-01; Besselaar; Youjian; REDUCED; false
GI-105306; 1991-06-25; Hebden; Zhigen; REDUCED; false
GI-104774; 1993-11-01; Rodham; Suzette; STUDENT; false
GI-107577; 1999-06-14; Salverda; Ugo; FULL; true
GI-103427; 1997-07-22; Lukaszewicz; Kristen; FULL; true
GI-100875; 1987-06-09; Azevdeo; Kyoichi; FULL; false
GI-107803; 1989-03-22; Ranka; Heng; FULL; true
GI-109086; 1989-09-17; Setia; Denny; FULL; false
GI-106353; 1997-08-13; Salvesen; Christophe; FULL; true
GI-102908; 1992-05-02; Ranai; Zhonghui; FULL; true
GI-100439; 1986-04-17; Bergere; Gunilla; EMERITUS; false
GI-104326; 1992-09-17; Cromarty; Heping; EMERITUS; false
GI-106928; 1995-03-13; Schueller; Mayumi; FULL; true
GI-109243; 1992-05-03; Kitai; George; REDUCED; true
GI-100904; 1985-07-23; Siochi; Maren; EMERITUS; false
GI-106060; 1991-09-13; Cherinka; Shigehito; REDUCED; true
GI-105504; 1989-12-14; Matteis; Rance; EMERITUS; true
GI-103138; 1985-12-17; Macedo; Franziska; EMERITUS; false
GI-101217; 1988-01-14; Jansen; Satoru; REDUCED; false
GI-106578; 1985-05-25; Schwabacher; Rosine; EMERITUS; true
GI-101586; 1988-06-01; Bonifati; Nathalie; EMERITUS; false
GI-101629; 1986-09-12; Snyers; Ibibia; FULL; false
GI-102449; 1991-04-03; Pettis; Duro; FULL; true
GI-109187; 1991-04-24; Auria; Yakichi; FULL; true
GI-102423; 1985-04-19; Nivat; Aksel; EMERITUS; true
GI-104972; 1992-03-12; Einsfeld; Fabrizio; EMERITUS; false
GI-101426; 1989-02-27; Bauknecht; Boguslaw; FULL; false
GI-107139; 1985-12-10; Peir; Armond; FULL; true
GI-104369; 1991-03-10; Ranai; Tua; EMERITUS; true
GI-100617; 1991-11-12; Peha; Boaz; EMERITUS; false
GI-107533; 1986-07-30; Krichel; JoAnne; FULL; false
GI-108967; 1986-09-09; Rosca; Murthy; EMERITUS; true
GI-107047; 1985-11-14; Rathonyi; Filipe; EMERITUS; false
GI-109138; 1985-09-18; Covnot; Diederik; EMERITUS; false
GI-103854; 1992-12-25; Fontet; Adly; REDUCED; true
GI-107251; 1993-11-16; Rando; Maha; FULL; true
GI-103082; 1989-05-04; Cappelli; Gita; EMERITUS; false
GI-106747; 1994-10-20; Hainaut; Gao; FULL; false
GI-101661; 1995-10-01; Brodal; Irena; EMERITUS; false
GI-107782; 1987-06-30; Fasbender; Gennadi; REDUCED; false
GI-103865; 1994-04-04; Sidhu; Hausi; REDUCED; true
GI-106014; 1989-04-01; Lund; Remzi; REDUCED; true
GI-107761; 1988-03-21; Masand; Ishfaq; REDUCED; true
GI-106978; 1995-10-24; Cangellaris; Zissis; EMERITUS; true
GI-106179; 1987-11-17; Schapiro; Jouko; FULL; true
GI-109690; 1991-04-20; Sethi; Valeri; FULL; true
GI-104128; 1994-06-14; Tetzlaff; Masato; EMERITUS; false
GI-101253; 1986-08-06; Apsitis; Akhilish; EMERITUS; true
GI-103216; 1987-04-16; Takanami; Moti; FULL; true
GI-104673; 1985-07-28; Kermarrec; Tomoyuki; EMERITUS; true
GI-101500; 1989-12-04; Ritcey; Stepehn; REDUCED; true
GI-107396; 1988-10-18; Camarinopoulos; Hilary; FULL; false
GI-107124; 1988-09-19; Castellani; Manu; FULL; false
GI-101191; 1991-06-08; Mullainathan; Fumitaka; EMERITUS; false
GI-103634; 1991-10-04; Dahlbom; Mong; FULL; false
GI-105627; 1988-10-01; Hempstead; Munir; EMERITUS; true
GI-103992; 1990-02-09; Kirkerud; Remmert; REDUCED; true
GI-104079; 1986-02-01; Liedekerke; Wuxu; FULL; true
GI-101688; 1990-01-18; Ritcey; Munehiro; FULL; false
GI-106724; 1988-08-02; Bazelow; Rosine; FULL; false
GI-107975; 1991-08-07; Zykh; Frederique; EMERITUS; true
GI-103245; 1986-10-10; Ventosa; Boriana; EMERITUS; true
GI-108036; 1985-05-11; Uludag; Ipke; FULL; true
GI-108512; 1991-03-28; Bergere; Martina; EMERITUS; true
GI-103217; 1987-04-30; Conry; Siddarth; REDUCED; false
GI-109408; 1991-02-22; Mikschl; Xuejun; EMERITUS; false
GI-108555; 1989-11-10; Erni; Jenwei; FULL; true
GI-100892; 1993-07-14; Alpin; Felicidad; FULL; true
GI-102735; 1986-08-18; Clemencon; Yuriy; FULL; true
GI-106592; 1985-04-05; Karcich; Guther; EMERITUS; true
GI-109556; 1986-07-13; Rissland; Huican; EMERITUS; false
GI-109037; 1986-08-25; Nollmann; Toshiki; EMERITUS; false
GI-102335; 1987-10-09; Limongiello; Yoshinari; EMERITUS; true
GI-105671; 1986-12-22; Meriste; Cathie; FULL; false
GI-108997; 1991-07-02; Picco; Leucio; STUDENT; false
GI-100783; 1987-02-02; Zastre; Udaiprakash; FULL; true
GI-108607; 1996-07-15; Rosis; Mikhail; FULL; true
GI-109874; 1989-01-14; Bale; Fai; EMERITUS; false
GI-107440; 1990-10-16; Rijckaert; Sukumar; EMERITUS; false
GI-101691; 1986-01-27; Raney; Elrique; EMERITUS; true
GI-101140; 1990-02-23; Kleiser; Valdiodio; EMERITUS; false
GI-104958; 1986-06-15; Narahara; Yongqiao; REDUCED; true
GI-107957; 1994-01-13; Pocchiola; Venkatesan; EMERITUS; true
GI-109429; 1990-12-14; Zockler; Kish; STUDENT; false
GI-103228; 1987-01-26; Eiter; Lillian; EMERITUS; false
GI-102438; 1991-06-13; Swick; Uinam; FULL; true
GI-101436; 1996-06-19; Kilgore; Hyuncheol; EMERITUS; true
GI-102070; 1991-11-14; Limongiello; Francoise; FULL; true
GI-101472; 1986-01-03; Dalphin; Weidon; FULL; false
GI-109793; 1986-01-04; Sluis; Shuichi; EMERITUS; true
GI-104794; 1991-10-06; Docker; Reinhold; FULL; true
GI-103736; 1995-12-31; Ghemri; Anwar; FULL; false
GI-109709; 1996-02-20; Raczkowsky; Satosi; EMERITUS; false
GI-107606; 1986-12-20; Peltason; Chikara; REDUCED; false
GI-108802; 1985-11-18; Lowrie; Lijie; EMERITUS; false
GI-102462; 1986-11-18; Karlin; Gretta; FULL; false
GI-102320; 1986-06-10; Viele; Shaibal; STUDENT; true
GI-106305; 1994-12-15; Bahk; Hyuckchul; EMERITUS; true
GI-103040; 1990-05-15; Choobineh; Fumino; REDUCED; false
GI-107666; 1987-10-09; Yurov; Hisao; EMERITUS; true
GI-109364; 1985-12-22; Biron; Sangeeta; STUDENT; false
GI-105153; 1989-09-02; Klerer; Lidong; REDUCED; true
GI-101023; 1990-02-22; Poulakidas; Parviz; EMERITUS; false
GI-104349; 1990-04-13; Marquardt; Zhiwei; FULL; true
GI-105863; 1986-09-28; Langford; Zhaofang; FULL; true
GI-106777; 1990-02-02; Suessmith; Yongdong; FULL; false
GI-105772; 1991-05-15; Falck; Mircea; EMERITUS; true
GI-103139; 1991-09-07; Bodoff; Dante; REDUCED; false
GI-106007; 1988-05-16; Muchinsky; Jackson; FULL; false
GI-103060; 1995-06-23; Rahimi; Muzhong; REDUCED; false
GI-107302; 1987-11-04; Speel; Nikolaos; EMERITUS; true
GI-109091; 1997-10-04; Hoppenstand; Anwar; EMERITUS; false
GI-102738; 1986-12-08; Conry; IEEE; STUDENT; false
GI-108488; 1999-09-29; Undy; Yonghoan; FULL; true
GI-101093; 1991-07-06; Delgrossi; Murthy; EMERITUS; true
GI-102019; 1988-12-15; Kalsbeek; Xiong; REDUCED; true
GI-100939; 1986-10-16; Bruckman; Dada; FULL; false
GI-108826; 1989-11-28; Feinberg; Gennadi; EMERITUS; false
GI-106110; 1992-06-05; Usdin; Poorav; EMERITUS; true
GI-107114; 1987-04-17; Pashtan; Valter; EMERITUS; false
GI-104827; 1991-03-03; Rusterholz; Shawna; REDUCED; true
GI-100835; 1989-11-15; Schahn; Uli; STUDENT; true
GI-101947; 1986-08-22; Perly; Isamu; FULL; false
GI-105262; 1986-06-06; Wynblatt; Vidya; REDUCED; true
GI-107324; 1989-05-15; Hofmeyr; Josyula; STUDENT; false
GI-107793; 1985-03-05; Ulupinar; Sastry; FULL; true
GI-100580; 1991-06-06; Hinsberger; Kankanahalli; EMERITUS; false
GI-101960; 1990-01-14; Delgrande; Akemi; FULL; false
GI-100430; 1988-12-07; Angelov; Zine; FULL; false
GI-106929; 1985-02-03; Warwick; Gio; EMERITUS; true
GI-108343; 1988-05-08; Minakawa; Rutger; REDUCED; false
GI-105533; 1985-12-20; Gerteisen; Rosine; EMERITUS; false
GI-106324; 1997-07-11; Chiola; Tzu; FULL; false
GI-107108; 1986-07-18; Matteis; Sreenivas; EMERITUS; false
GI-103425; 1995-04-13; Rodite; Chenxi; FULL; false
GI-106198; 1985-08-15; Constantine; Xiadong; EMERITUS; false
GI-108964; 1987-01-09; Neiman; Pradeep; STUDENT; false
GI-107731; 1985-07-15; Pargas; Yucel; FULL; false
GI-106900; 1992-12-19; Levasseur; Hugo; EMERITUS; false
GI-100336; 1993-09-16; Thisen; Vidya; EMERITUS; true
GI-105645; 1988-07-05; Kemmerer; Mizuhito; EMERITUS; true
GI-103991; 1993-05-25; Morris; Xiaoshan; FULL; true
GI-105056; 1986-06-04; Benzmuller; Hercules; EMERITUS; true
GI-105876; 1993-10-06; Shrader; Alexius; FULL; true
GI-109541; 1992-12-28; Pietracaprina; Marie; FULL; false
GI-102202; 1989-07-30; Ratnaker; Adel; EMERITUS; false
GI-104090; 1992-10-16; Matteis; Mikhail; FULL; true
GI-103045; 1990-04-23; Cools; Dzung; FULL; true
GI-106779; 1986-11-26; Marzano; Pramod; FULL; true
GI-100551; 1987-01-29; Demizu; Fai; FULL; false
GI-107322; 1985-03-22; Yurek; Erez; FULL; true
GI-109896; 1985-05-11; Gomatam; Chenxi; EMERITUS; true
GI-100940; 1990-07-28; Chepyzhov; Shaowei; REDUCED; false
GI-107034; 1986-08-29; Picel; Bartek; FULL; true
GI-109716; 1992-08-02; Picht; Mari; STUDENT; false
GI-105035; 1990-11-07; Avouris; Gadiel; REDUCED; false
GI-103905; 1987-03-06; Kaiser; Baruch; EMERITUS; false
GI-107934; 1988-04-30; Cincotta; Feixiong; EMERITUS; false
GI-109336; 1994-04-15; Kumaresan; Masanao; FULL; false
GI-103058; 1989-11-02; Orlowska; Stepehn; FULL; false
GI-107639; 1988-06-07; Antonisse; Mingsen; STUDENT; false
GI-100473; 1994-04-27; Staudhammer; Valeri; REDUCED; true
GI-103769; 1986-07-04; Rosin; Lidong; EMERITUS; false
GI-106248; 1990-10-21; Basagni; Gill; FULL; true
GI-101133; 1996-02-05; Kruskal; Tze; REDUCED; false
GI-106107; 1987-03-03; Koprowski; Dipayan; FULL; false
GI-106069; 1994-06-09; Navazio; Tayeb; FULL; true
GI-106003; 1986-12-31; Schmittgen; Zhenhua; EMERITUS; false
GI-103890; 1990-11-25; Sessa; Luigi; FULL; true
GI-102377; 1996-11-05; Desikan; Sailaja; REDUCED; true
GI-104813; 1990-04-18; Lorin; Shuzo; FULL; true
GI-100866; 1990-09-08; Isard; Garnet; REDUCED; false
GI-107308; 1990-09-11; Collavizza; Anwar; FULL; false
GI-102056; 1989-02-08; Gecseg; Krisda; REDUCED; false
GI-102658; 1993-10-30; Zhiwei; Szabolcs; REDUCED; true
GI-108700; 1992-05-30; Sommer; Jianhua; FULL; true
GI-104382; 1992-11-23; Gimbel; Divier; FULL; true
GI-101166; 1986-12-16; Melter; Zhiguo; FULL; false
GI-109783; 1988-04-18; Narahara; Chikara; EMERITUS; true
GI-103308; 1986-11-29; Angelopoulos; Oguz; REDUCED; true
GI-109337; 1996-12-24; Rajala; Manibrata; FULL; true
GI-106122; 1990-03-24; Flasterstein; Jiafu; FULL; false
GI-108043; 1993-09-24; Reinhard; Visit; EMERITUS; true
GI-106784; 1994-10-13; Hartvigsen; Georgi; FULL; false
GI-106480; 1988-09-16; Bisiani; Abdelaziz; FULL; true
GI-102483; 1985-04-27; Feldmann; Dinkar; STUDENT; true
GI-108750; 1991-05-10; Aingworth; Genevieve; FULL; false
GI-101310; 1986-08-28; Schaaf; Amabile; REDUCED; true
GI-101624; 1985-07-20; Demos; Berhard; FULL; true
GI-106097; 1985-11-27; Sundgren; Tokuyasu; STUDENT; false
GI-106972; 1991-07-03; Delgrange; Fumino; EMERITUS; false
GI-106381; 1993-03-21; Zucker; Guozhong; FULL; false
GI-107262; 1990-01-10; Fortenbacher; Jana; FULL; true
GI-102650; 1991-11-07; Erol; Irene; FULL; false
GI-107147; 1995-02-25; Winter; Genki; REDUCED; false
GI-107859; 1988-05-01; Benzmuller; Tamiya; STUDENT; true
GI-107677; 1993-11-21; Perly; Fai; EMERITUS; true
GI-100501; 1990-07-23; Morton; Fai; FULL; false
GI-105002; 1992-05-24; Kawashima; Ayakannu; EMERITUS; false
GI-105429; 1996-10-14; Czap; Khue; REDUCED; false
GI-109638; 1988-09-15; Stroustrup; Yucel; FULL; false
GI-103230; 1997-12-02; Thiran; Chaosheng; STUDENT; false
GI-106359; 1990-06-24; Wiegley; Zhenhua; EMERITUS; false
GI-104901; 1994-09-01; Merkl; Make; EMERITUS; true
GI-109154; 1986-04-29; Barbanera; Kyoichi; REDUCED; true
GI-109378; 1988-12-25; Masamoto; Tadahiko; FULL; true
GI-104825; 1986-05-03; Kumaresan; Vishu; EMERITUS; true
GI-100142; 1987-12-25; Perry; Bedir; REDUCED; true
GI-103546; 1994-06-20; Thibadeau; Chuanti; FULL; true
GI-105029; 1996-03-27; Erman; Minghong; FULL; false
GI-105054; 1992-10-25; Garnier; Florina; EMERITUS; false
GI-100959; 1986-02-15; Casley; Yefim; FULL; true
GI-101142; 1991-05-09; Sambasivam; Heekeun; FULL; true
GI-106384; 1988-04-08; Famili; Mountaz; STUDENT; true
GI-105539; 1997-10-17; Maraist; Lobel; FULL; true
GI-103085; 1985-04-07; Bisiani; Kamakshi; EMERITUS; false
GI-101937; 1996-05-16; Gulla; Kazuyasu; FULL; true
GI-105637; 1985-11-08; Rahimi; Krister; EMERITUS; true
GI-108583; 1986-09-01; Giarratana; Gina; REDUCED; false
GI-109421; 1985-03-02; Tempesti; Hercules; EMERITUS; false
GI-102568; 1992-02-05; Krohn; Snehasis; FULL; true
GI-100141; 1990-04-04; Keustermans; Babette; FULL; false
GI-104202; 1992-10-01; Madeira; Aruna; EMERITUS; true
GI-102376; 1985-07-06; Braunmuhl; Claudia; FULL; false
GI-100125; 1994-05-25; Akaboshi; Val; REDUCED; true
GI-103943; 1986-08-20; Cooley; Rafols; STUDENT; false
GI-109454; 1986-07-25; Kabayashi; Atreye; FULL; false
GI-104145; 1997-05-24; Sinicrope; Arunas; EMERITUS; true
GI-108077; 1985-07-18; Murillo; Yonghoan; STUDENT; true
GI-108348; 1986-07-19; Rosch; Munehiro; EMERITUS; true
GI-101991; 1992-12-23; Pezzoli; Yuguang; FULL; false
GI-104975; 1985-12-18; Gist; Paraskevi; EMERITUS; false
GI-102290; 1991-01-02; Denna; Frederik; FULL; false
GI-108019; 1992-02-04; Vuskovic; Kirk; EMERITUS; true
GI-102573; 1991-06-21; Beausoleil; Macha; REDUCED; true
GI-105662; 1992-11-03; Danner; Shooichi; EMERITUS; false
GI-107476; 1991-03-23; Haldar; Abdulah; FULL; true
GI-106142; 1985-02-12; Schahn; Jianhao; FULL; true
GI-104419; 1992-07-08; Matzke; Yurij; REDUCED; true
GI-108301; 1996-09-01; Gips; Jaihie; EMERITUS; false
GI-101589; 1988-02-25; Chaudhuri; Shigenori; EMERITUS; false
GI-104625; 1988-12-25; Luks; JiYoung; FULL; false
GI-101631; 1985-08-27; Shokrollahi; Duangkaew; FULL; false
GI-107672; 1988-06-22; Figueira; Sanjay; FULL; true
GI-107295; 1994-10-30; Randi; Marc; EMERITUS; true
GI-101818; 1986-10-18; Demke; Yakkov; EMERITUS; false
GI-105128; 1990-07-02; Peot; Apostol; REDUCED; false
GI-102684; 1990-12-13; Akaboshi; Tsuneo; EMERITUS; true
GI-109031; 1985-05-31; Merel; Ulises; STUDENT; false
GI-105198; 1990-07-06; Porotnikoff; Hugh; EMERITUS; false
GI-101603; 1993-01-13; Zumaque; Naftali; FULL; true
GI-101206; 1988-06-17; Thiria; Sadegh; FULL; true
GI-106423; 1991-12-20; Zschoche; Charlene; EMERITUS; false
GI-104440; 1990-10-05; Chenoweth; Mang; EMERITUS; false
GI-105845; 1994-08-10; Peternell; Ramya; FULL; false
GI-104866; 1986-10-11; Fordan; Masoud; STUDENT; true
GI-106739; 1992-08-14; Riefers; Heon; EMERITUS; true
GI-105838; 1987-09-11; Sewelson; Sugwoo; FULL; false
GI-101396; 1990-08-24; Holburn; Guther; FULL; false
GI-102419; 1989-11-17; Paciorek; Jaewon; STUDENT; false
GI-100038; 1994-10-07; Petereit; Ebru; FULL; true
GI-109836; 1985-06-25; Grandbois; Slavian; FULL; false
GI-104572; 1985-02-04; Penttonen; Herb; FULL; false
GI-103580; 1986-08-15; Krychniak; Sugwoo; FULL; true
GI-107941; 1988-05-18; Awdeh; Satosi; FULL; true
GI-101737; 1985-07-14; Porenta; Tomoyuki; FULL; true
GI-102560; 1987-01-18; Guardalben; Vasilis; FULL; true
GI-103208; 1998-06-07; Baezner; Kwok; FULL; true
GI-109419; 1991-03-21; Hutton; Spyrose; REDUCED; false
GI-104414; 1987-03-07; Billingsley; Pragnesh; FULL; false
GI-100261; 1987-10-07; Peha; Hongzue; EMERITUS; false
GI-100224; 1987-04-28; Denis; Perla; EMERITUS; false
GI-107956; 1986-01-29; Mitsuhashi; Khedija; EMERITUS; true
GI-101669; 1991-08-12; Vidya; Supot; STUDENT; false
GI-101168; 1991-06-26; Dechter; Zdislav; EMERITUS; false
GI-109300; 1985-07-09; Frijda; Siddarth; EMERITUS; true
GI-107461; 1992-06-23; Rosen; Arunas; STUDENT; true
GI-109363; 1988-07-31; Bing; Mack; FULL; true
GI-108757; 1989-07-15; Passafiume; Shrikanth; FULL; false
GI-103306; 1987-09-09; Jonsson; Fumino; STUDENT; true
GI-109634; 1985-05-14; Fontet; Yefim; STUDENT; true
GI-105237; 1986-01-21; Dayana; Patricia; STUDENT; true
GI-105843; 1991-11-20; Ballarin; Chikara; REDUCED; false
GI-107048; 1991-07-04; Junet; Zorica; FULL; true
GI-102832; 1988-09-08; Chleq; Anoosh; FULL; true
GI-106743; 1986-04-20; Lorho; Percy; EMERITUS; false
GI-100731; 1989-08-23; Auria; Felicidad; EMERITUS; true
GI-104737; 1986-01-12; Gihr; Udi; FULL; true
GI-109833; 1986-07-18; Magalhaes; Aksel; FULL; false
GI-100713; 1987-06-03; Segond; Jingling; EMERITUS; false
GI-103999; 1992-07-23; Valette; Lansing; FULL; false
GI-103149; 1985-07-05; Bernardes; Lein; FULL; false
GI-105719; 1994-03-12; Dayang; Niclas; STUDENT; true
GI-104562; 1987-08-15; Besancenot; Mayuko; FULL; false
GI-103113; 1999-04-01; Narlikar; Fumino; FULL; false
GI-108392; 1992-01-20; Koshino; Zeydy; FULL; true
GI-103942; 1990-07-04; Wolfenb?ttel; Luciano; STUDENT; false
GI-102553; 1986-08-06; Hofman; Conor; EMERITUS; false
GI-108418; 1992-10-26; Spelt; Kazuhira; FULL; false
GI-100308; 1988-05-23; Staudhammer; Lucien; STUDENT; true
GI-100057; 1985-04-29; Jording; Feixiong; EMERITUS; false
GI-108831; 1987-09-24; Horswill; Arve; REDUCED; true
GI-102942; 1985-11-22; Ressouche; Gita; STUDENT; false
GI-107438; 1996-12-25; Sundgren; Sachem; REDUCED; false
GI-100264; 1985-02-26; Hutter; Taisook; FULL; false
GI-101522; 1986-07-12; Poehlman; Francoise; STUDENT; true
GI-104782; 1986-12-09; Ambroszkiewicz; Dekang; STUDENT; false
GI-109277; 1985-05-30; Underwood; Mohammad; EMERITUS; false
GI-108829; 1987-05-30; Litzler; Taisook; EMERITUS; true
GI-107318; 1994-04-09; Malabarba; Kenroku; EMERITUS; false
GI-102611; 1988-05-08; Schoegge; IEEE; FULL; true
GI-104354; 1989-04-09; Skafidas; Tiina; FULL; false
GI-102617; 1986-05-17; Toyoshima; Qunsheng; REDUCED; true
GI-107683; 1986-07-14; Halevi; Jouni; FULL; false
GI-108205; 1988-07-04; Swift; Xiping; STUDENT; true
GI-109373; 1994-02-10; Khasidashvili; Shmuel; EMERITUS; false
GI-101353; 1990-04-25; McDermid; Steen; EMERITUS; true
