key;joiningdate;surename;forename;group
GI-113845; 1992-12-07; Pavlopoulou; Candido; EMERITUS; false
GI-127174; 1991-09-09; Fendler; Unal; FULL; true
GI-117461; 1986-03-31; Dother; Yuguang; EMERITUS; true
GI-139163; 1993-08-16; Kusalik; Nimmagadda; FULL; false
GI-122908; 1990-08-14; Francisci; Yuchang; STUDENT; true
GI-124975; 1992-07-25; Perl; Atilio; EMERITUS; false
GI-131678; 1986-03-03; Silva; Duro; FULL; false
GI-101201; 1986-04-22; Breugel; Sanjay; EMERITUS; true
GI-102796; 1986-10-31; Bernardeschi; Lucien; REDUCED; false
GI-128209; 1993-11-18; Heinisuo; Carrsten; REDUCED; false
GI-112372; 1986-10-11; Fordan; Masoud; STUDENT; true
GI-117179; 1996-07-13; Schicker; Heekeun; REDUCED; true
GI-133808; 1988-07-29; Usery; Heon; STUDENT; true
GI-130561; 1987-03-28; Sudkamp; Aleksandar; EMERITUS; true
GI-100533; 1986-03-04; Benner; Yaghout; EMERITUS; false
GI-113462; 1991-05-01; Liedekerke; Kotesh; EMERITUS; true
GI-133882; 1986-10-12; Speckmann; Vishv; EMERITUS; true
GI-113302; 1985-04-06; Ramsey; Barry; FULL; true
GI-133747; 1985-06-19; Deyuan; Chinya; FULL; false
GI-134888; 1985-12-20; Pehl; Aron; EMERITUS; true
GI-126539; 1985-12-25; Garnham; Giap; REDUCED; true
GI-128834; 1986-01-15; Fujisaki; Karlis; FULL; true
GI-139661; 1992-11-21; Murrill; Subhada; FULL; true
GI-112193; 1996-07-15; Rosis; Mikhail; FULL; true
GI-114303; 1986-11-27; Beerel; Alper; EMERITUS; false
GI-135779; 1985-05-22; Shigei; Fernanda; FULL; true
GI-118946; 1986-09-09; Schmittgen; Marl; REDUCED; false
GI-105339; 1992-11-17; Breugel; Gennadi; FULL; false
GI-120150; 1992-08-09; Schurmann; Flemming; REDUCED; true
GI-119131; 1992-02-18; Lemarechal; Adil; FULL; false
GI-103509; 1988-05-12; Brandsma; Leif; EMERITUS; false
GI-119045; 1989-02-01; Hashii; Zengping; STUDENT; false
GI-135172; 1995-03-04; Kitai; Geoffry; REDUCED; true
GI-113985; 1994-03-14; Steenbeek; Sudharsan; FULL; false
GI-120568; 1993-12-10; Pusterhofer; Dinkar; REDUCED; true
GI-120054; 1997-07-10; Haumacher; Honesty; REDUCED; false
GI-122943; 1995-05-19; Swan; Torsten; FULL; false
GI-105447; 1986-11-09; Smailagic; Basem; STUDENT; true
GI-111582; 1990-04-22; Schapire; Florina; STUDENT; true
GI-120859; 1985-05-02; Facello; Kwangyoen; STUDENT; true
GI-132011; 1989-07-20; Openshaw; Sastry; FULL; false
GI-121576; 1987-05-26; Ranze; Poorav; EMERITUS; false
GI-134039; 1986-03-15; Codenie; Marit; FULL; true
GI-136429; 1987-06-05; Laventhal; Djelloul; EMERITUS; true
GI-105840; 1993-01-24; Ranze; Ziyad; EMERITUS; true
GI-126094; 1994-02-05; Eiron; Duri; REDUCED; true
GI-127748; 1986-12-02; Birch; Akemi; FULL; true
GI-116306; 1993-11-19; Schaap; Cedric; FULL; true
GI-128250; 1987-07-10; Aseltine; Narain; REDUCED; true
GI-133163; 1986-04-26; Bamford; Shigeichiro; FULL; false
GI-122511; 1986-07-06; Bednarek; Otilia; FULL; false
GI-103272; 1985-05-11; Kowalchuk; George; REDUCED; false
GI-124999; 1990-08-03; Zaumen; Renee; EMERITUS; false
GI-111079; 1990-12-30; Luef; Krassimir; STUDENT; false
GI-110338; 1987-03-12; Woycyznski; Fayez; EMERITUS; true
GI-136868; 1988-08-12; Takkinen; JiYoung; EMERITUS; true
GI-134780; 1990-05-07; Joslin; Jagoda; FULL; true
GI-115067; 1994-07-02; Erbe; Miyeon; REDUCED; false
GI-103175; 1988-08-20; Bonifati; Alain; FULL; false
GI-127896; 1991-07-04; Bardell; Luigi; FULL; false
GI-120878; 1990-11-08; Rousseau; Khoa; REDUCED; true
GI-139707; 1989-09-26; Erie; Arnd; EMERITUS; false
GI-106178; 1986-08-10; Hiroyama; Naftaly; FULL; false
GI-108130; 1995-08-22; Puoti; Hugo; STUDENT; true
GI-118614; 1989-06-24; Ruemmler; Heejo; FULL; true
GI-113254; 1991-12-19; Maliniak; Elliott; STUDENT; true
GI-107041; 1995-10-31; Varley; Nirmal; FULL; true
GI-120834; 1988-02-28; Rullman; Miquel; EMERITUS; false
GI-124953; 1989-06-13; Segond; Tru; FULL; true
GI-102949; 1988-02-28; Otillio; Emdad; EMERITUS; false
GI-113890; 1992-04-07; Gihr; Takahira; EMERITUS; true
GI-118854; 1995-12-01; Schaad; Fumitaka; REDUCED; true
GI-132669; 1985-04-14; Fraisse; Gererd; FULL; true
GI-133712; 1995-07-20; Baer; Marco; STUDENT; false
GI-126938; 1987-05-17; Azadmanesh; Avishai; FULL; false
GI-117777; 1987-10-23; Sanella; Subir; FULL; true
GI-113968; 1986-07-29; Riexinger; Nakhoon; EMERITUS; true
GI-116195; 1987-09-05; Hiroyama; Stepehn; REDUCED; true
GI-127095; 1989-06-03; Tibblin; Sergi; FULL; false
GI-128636; 1985-12-12; Kaminger; Pradeep; FULL; false
GI-136991; 1992-03-08; Litecky; Daniela; EMERITUS; false
GI-118689; 1987-02-09; Dalton; Ioana; FULL; false
GI-131897; 1986-06-14; Warwick; Eric; FULL; true
GI-118182; 1990-05-22; Vasanthakumar; Tristan; FULL; false
GI-115280; 1988-05-30; Chinal; Jaroslava; REDUCED; false
GI-104326; 1986-11-22; Gronowski; Lein; REDUCED; true
GI-121732; 1990-07-06; Schmiedel; Vidar; STUDENT; true
GI-128376; 1993-04-20; DeMori; Vitaly; STUDENT; false
GI-114368; 1988-10-16; Covnot; Garnik; REDUCED; false
GI-124205; 1991-07-07; Yamaashi; Sasan; STUDENT; true
GI-124787; 1988-12-16; Buescher; Otilia; EMERITUS; false
GI-124355; 1985-05-03; Matzen; Elvia; EMERITUS; true
GI-115310; 1992-12-07; Zallocco; Saeed; EMERITUS; false
GI-101373; 1990-08-07; Koblitz; Holgard; FULL; true
GI-112465; 1986-04-12; Sommen; Akemi; STUDENT; false
GI-104094; 1988-12-15; Matzen; Uta; EMERITUS; false
GI-130897; 1988-12-05; Barriga; Martins; FULL; true
GI-128864; 1990-04-07; Ritzmann; Erez; STUDENT; false
GI-135181; 1987-04-10; Krybus; Masaki; FULL; false
GI-138137; 1988-05-21; Roison; Guenter; EMERITUS; true
GI-122611; 1992-08-13; Reghbati; Leif; REDUCED; true
GI-118569; 1988-05-12; Cappello; Marek; FULL; false
GI-112354; 1985-02-12; Schahn; Jianhao; FULL; true
GI-111238; 1992-12-05; Pollock; Hidde; REDUCED; true
GI-113361; 1985-08-21; Conti; Bartek; FULL; false
GI-139229; 1994-03-18; Harnett; Charlene; EMERITUS; true
GI-114205; 1991-07-07; Yamaashi; Sasan; STUDENT; true
GI-123743; 1987-01-19; Montemayor; Nishit; STUDENT; false
GI-136308; 1988-10-25; Demri; Thanasis; FULL; true
GI-137308; 1991-05-09; Schieder; Jovan; FULL; false
GI-131752; 1989-09-04; Kornyak; Jungsoon; EMERITUS; false
GI-132228; 1997-10-04; Hoppenstand; Anwar; EMERITUS; false
GI-115061; 1988-12-30; Kusakari; Takahira; FULL; true
GI-107811; 1986-12-04; Yoshizawa; Mohit; STUDENT; false
GI-127494; 1999-05-08; Waterhouse; Yannis; STUDENT; false
GI-127509; 1986-04-27; Ravishankar; Constantine; STUDENT; true
GI-133396; 1989-08-01; Sethi; Candida; FULL; false
GI-109154; 1985-04-22; Magliocco; Ziva; EMERITUS; true
GI-104507; 1990-08-11; Cochrane; Mercedes; STUDENT; false
GI-106029; 1988-06-06; Bondorf; Subhankar; STUDENT; true
GI-124469; 1988-07-01; Lund; Garnik; EMERITUS; false
GI-104378; 1989-05-21; Gien; Gift; REDUCED; false
GI-137683; 1990-07-10; Sgarro; Saddek; EMERITUS; false
GI-120996; 1993-10-12; Maccarone; Gunilla; EMERITUS; false
GI-131332; 1992-12-04; Pavlopoulou; Jaana; STUDENT; true
GI-132260; 1993-10-06; Shrader; Alexius; FULL; true
GI-139920; 1992-09-06; Mateescu; Demos; EMERITUS; true
GI-133871; 1986-05-27; Pelc; Hein; EMERITUS; true
GI-134521; 1986-05-21; Fargier; Baziley; EMERITUS; false
GI-117606; 1990-11-11; Hanratty; Xiaocheng; STUDENT; false
GI-126520; 1988-12-21; Liedekerke; Shaunak; EMERITUS; false
GI-110411; 1990-09-12; Haldar; Xiaoshan; EMERITUS; true
GI-102063; 1997-03-11; Sadowsky; Aran; FULL; true
GI-101852; 1987-06-12; Wendorf; Zengping; FULL; false
GI-105283; 1994-11-02; Bellone; Somnath; FULL; true
GI-139669; 1986-02-03; Melichar; Eckart; FULL; true
GI-112293; 1992-11-23; Gimbel; Divier; FULL; true
GI-104686; 1989-07-01; Christianini; Kazuhira; FULL; false
GI-108245; 1990-06-30; Babb; Valter; EMERITUS; true
GI-107578; 1989-03-05; Raczkowsky; Valdiodio; FULL; false
GI-127830; 1986-01-13; Peak; Owen; EMERITUS; false
GI-115201; 1992-01-30; Rubsam; Manu; FULL; false
GI-111756; 1991-06-26; McAlpine; Lenny; STUDENT; true
GI-113278; 1994-05-19; Cangellaris; Kristian; EMERITUS; false
GI-130055; 1993-03-21; Rikino; Aiman; STUDENT; true
GI-109871; 1993-03-30; Usdin; Alper; REDUCED; false
GI-128417; 1986-06-13; Matzel; Munenori; EMERITUS; false
GI-101645; 1990-01-29; Schreiter; Flemming; FULL; false
GI-110461; 1991-03-31; Rissland; Aleksandar; FULL; false
GI-129185; 1988-09-09; Hasham; Visit; REDUCED; false
GI-115726; 1987-05-23; Usdin; Bodo; EMERITUS; false
GI-110597; 1991-06-08; Terkki; Holgard; REDUCED; false
GI-114281; 1993-01-17; Vitiello; Chenyi; REDUCED; false
GI-134850; 1989-07-20; Stassinopoulos; Michaela; EMERITUS; false
GI-104616; 1987-10-29; Gecsel; Candido; EMERITUS; true
GI-131619; 1991-10-05; Katiyar; Gurbir; EMERITUS; false
GI-129487; 1987-03-25; Ghalwash; Babette; EMERITUS; true
GI-118752; 1988-07-29; Soicher; Shan; REDUCED; true
GI-138107; 1993-02-09; Portugali; Chanjung; EMERITUS; true
GI-126990; 1987-01-17; Szmurlo; Dung; FULL; true
GI-118390; 1988-07-06; Rotem; Carrsten; EMERITUS; false
GI-133011; 1992-01-11; Hofman; Barton; EMERITUS; false
GI-121111; 1988-05-28; Binding; Stamatina; STUDENT; false
GI-135850; 1991-02-08; Staelin; Kristof; FULL; false
GI-119481; 1989-12-26; Ghazalie; Baruch; FULL; false
GI-110255; 1991-01-21; Aloia; Toshimitsu; STUDENT; false
GI-110610; 1987-01-05; Vickson; Simone; STUDENT; true
GI-122366; 1990-07-06; Porotnikoff; Hugh; EMERITUS; false
GI-135932; 1988-08-29; Luff; Pragnesh; EMERITUS; true
GI-122815; 1985-09-01; Grandbois; Rosine; FULL; false
GI-116307; 1993-02-25; Kalorkoti; Dietrich; EMERITUS; true
GI-127755; 1990-06-03; Templeman; Gal; EMERITUS; false
GI-111410; 1987-11-28; Schonegge; Ult; EMERITUS; false
GI-100430; 1989-06-06; Pettis; Honglan; EMERITUS; false
GI-102868; 1993-03-14; Haddadi; Kwok; FULL; true
GI-126809; 1993-10-02; Decleir; Sachem; EMERITUS; true
GI-104580; 1990-10-04; Kobuchi; Gully; FULL; true
GI-106866; 1985-11-02; Aloisi; Nigel; FULL; false
GI-117642; 1991-02-15; Armand; Bouchung; STUDENT; false
GI-137407; 1991-04-22; Senzako; Moni; FULL; false
GI-101322; 1996-07-14; Madeira; Serenella; EMERITUS; true
GI-115552; 1993-09-22; Strehl; Serif; EMERITUS; false
GI-136736; 1990-07-20; Muhling; Oddvar; EMERITUS; false
GI-112853; 1992-04-09; Beidas; Khaled; EMERITUS; false
GI-109590; 1988-06-16; Staylopatis; Chenxi; FULL; false
GI-114070; 1985-03-18; Speer; Denny; REDUCED; true
GI-115689; 1990-01-05; Nastansky; Adas; EMERITUS; false
GI-102423; 1986-12-09; Ambroszkiewicz; Dekang; STUDENT; false
GI-107299; 1996-07-14; Vitiello; Kyoichi; EMERITUS; false
GI-112279; 1986-07-04; Rosin; Lidong; EMERITUS; false
GI-134199; 1998-12-23; Mullainathan; Denis; EMERITUS; true
GI-125515; 1987-12-10; Garigliano; Heping; STUDENT; false
GI-122329; 1991-05-09; Sambasivam; Heekeun; FULL; true
GI-130924; 1989-01-15; Bahl; Dinah; FULL; false
GI-139148; 1988-05-30; Peron; Xiong; STUDENT; true
GI-104355; 1985-05-03; Matzen; Elvia; EMERITUS; true
GI-112070; 1991-04-07; Comte; Anestis; EMERITUS; true
GI-121082; 1988-10-01; Cichocki; Zhensheng; EMERITUS; false
GI-123372; 1987-09-04; Schwaller; Christoper; REDUCED; true
GI-138164; 1985-11-09; Takanami; Kwangsub; STUDENT; false
GI-135514; 1991-10-27; Basagni; Boutros; FULL; true
GI-114691; 1988-03-03; Pelc; Kenroku; FULL; false
GI-103686; 1995-01-05; Demri; Shaowei; EMERITUS; false
GI-121151; 1988-01-06; Krzyzanowski; Xiaocheng; FULL; false
GI-121216; 1994-03-18; Levergood; Sampalli; FULL; false
GI-139515; 1987-10-08; Navazio; Ashish; FULL; false
GI-137264; 1988-07-11; Krupka; Hidde; FULL; false
GI-103773; 1993-01-22; Heping; Constantino; FULL; true
GI-135815; 1985-06-16; Verhoeff; Fumiya; EMERITUS; true
GI-117342; 1990-06-11; Kobuchi; Dipayan; FULL; true
GI-136182; 1987-06-27; Papastamatiou; Vidya; FULL; true
GI-119124; 1987-10-09; Frolund; Yagil; STUDENT; true
GI-107921; 1994-11-08; Ullian; Bernardo; STUDENT; true
GI-116731; 1989-02-14; Dengi; Reuven; REDUCED; false
GI-132763; 1992-01-19; Ligten; Jordanka; REDUCED; false
GI-114683; 1985-08-01; Fairtlough; Supot; FULL; true
GI-115189; 1987-01-16; Rajaraman; Hidde; REDUCED; false
GI-115677; 1990-04-24; Back; Aiman; EMERITUS; true
GI-109733; 1987-03-07; Toyoshima; Kiyomitsu; FULL; true
GI-107687; 1990-09-16; Sadowsky; Parke; STUDENT; true
GI-108733; 1990-08-23; Penz; Nevio; REDUCED; true
GI-106779; 1985-09-26; Brandsma; Subir; EMERITUS; true
GI-109277; 1986-12-01; Whitcomb; Bouchung; REDUCED; true
GI-131157; 1987-12-25; Zaiane; Ung; REDUCED; false
GI-120791; 1993-04-03; Rabejac; Deborah; FULL; true
GI-126555; 1986-12-05; Bernardeschi; Shiv; REDUCED; true
GI-109223; 1989-02-24; Birdsall; Mabry; REDUCED; true
GI-104634; 1985-05-25; Luga; Rasiah; FULL; false
GI-119086; 1985-03-28; Narlikar; Kauko; FULL; true
GI-118503; 1988-02-04; Bodoff; Christoper; EMERITUS; true
GI-138112; 1985-02-19; Riesenhuber; Geoff; FULL; true
GI-129905; 1992-03-15; Ratnakar; Toney; REDUCED; false
GI-131739; 1991-10-13; Bratsberg; JoAnne; FULL; true
GI-131380; 1996-03-22; Erbe; Chenxi; FULL; true
GI-107774; 1985-05-17; Demeyer; Abdulla; EMERITUS; false
GI-132305; 1985-07-20; Demos; Berhard; FULL; true
GI-136629; 1988-09-01; Ranai; Heon; STUDENT; true
GI-106895; 1987-08-09; Giveon; Guoxiang; EMERITUS; true
GI-133945; 1989-04-26; Casley; Zhenhua; EMERITUS; true
GI-135866; 1992-12-08; Makrucki; Xuejun; FULL; true
GI-101506; 1994-08-05; Gilg; Breannda; FULL; true
GI-133077; 1990-03-11; Gini; Zhiguo; STUDENT; true
GI-101172; 1985-04-04; Xiaoshan; Kristin; FULL; true
GI-119090; 1994-07-21; Busillo; Leif; REDUCED; false
GI-122734; 1991-01-03; Carrera; Bernardo; STUDENT; true
GI-114471; 1992-12-30; Peyn; Uno; FULL; true
GI-124855; 1994-01-30; Smeets; Zhanqiu; EMERITUS; true
GI-134855; 1994-01-30; Smeets; Zhanqiu; EMERITUS; true
GI-104788; 1993-08-05; Hardjono; Feixiong; REDUCED; true
GI-114693; 1986-09-04; Waterhouse; Heng; EMERITUS; true
GI-138453; 1985-12-18; Kemmerer; Maris; EMERITUS; false
GI-139856; 1986-08-15; Bolotov; Kayoko; STUDENT; false
GI-104240; 1986-04-03; Thimonier; Arch; REDUCED; true
GI-127554; 1988-05-18; Domenig; Aamod; FULL; true
GI-107618; 1986-09-02; Rissanen; Kitty; EMERITUS; true
GI-114868; 1987-11-30; Taneja; Flemming; EMERITUS; true
GI-100422; 1995-10-17; Eastman; Luciano; REDUCED; false
GI-114536; 1986-09-05; Hatcliff; Rajmohan; STUDENT; false
GI-121421; 1987-03-22; Ghalwash; Stein; EMERITUS; false
GI-130516; 1985-12-16; Ginesta; Shichao; REDUCED; true
GI-125720; 1989-09-17; Emden; Luise; EMERITUS; false
GI-108742; 1987-04-21; Preusig; Leah; EMERITUS; false
GI-138543; 1988-06-19; Guerreiro; Bouchung; FULL; true
GI-119213; 1993-01-14; Penttonen; Dines; EMERITUS; true
GI-122082; 1995-09-09; Deville; Rasikan; FULL; true
GI-111580; 1989-01-08; Iisaku; Shuji; FULL; false
GI-124388; 1985-11-06; Baba; Christ; EMERITUS; false
GI-120906; 1988-02-08; Greenaway; Takushi; STUDENT; true
GI-101256; 1990-02-28; Vieri; Shawna; EMERITUS; true
GI-139655; 1993-04-04; Gimbel; Reuven; EMERITUS; true
GI-135881; 1996-01-22; Munke; Xuedong; FULL; false
GI-125822; 1986-02-17; Kitai; Licheng; FULL; true
GI-117648; 1990-09-16; Cusworth; Radhia; EMERITUS; true
GI-104582; 1989-01-16; Ertl; Randy; EMERITUS; false
GI-108727; 1992-11-30; Erman; Percy; FULL; true
GI-125590; 1985-04-06; Scharstein; Uri; EMERITUS; false
GI-114826; 1986-07-19; Taubenfeld; Toshiki; EMERITUS; true
GI-120508; 1990-09-05; Dayang; Tommaso; REDUCED; true
GI-135782; 1988-04-11; Beznosov; Chinya; FULL; true
GI-108403; 1985-05-15; Lenart; Nikolaus; REDUCED; false
GI-121563; 1989-06-17; Validov; Hiroyasu; FULL; true
GI-116879; 1987-10-01; Lipner; Hisao; FULL; false
GI-132827; 1985-09-20; Levasseur; Yolla; EMERITUS; false
GI-130877; 1989-07-22; Kroha; Tremaine; EMERITUS; true
GI-117687; 1990-09-16; Sadowsky; Parke; STUDENT; true
GI-135660; 1994-03-22; Baca; Dung; REDUCED; false
GI-117806; 1988-01-11; Ananiadou; Aleksandar; EMERITUS; false
GI-116799; 1990-12-04; Ghalwash; Thanasis; STUDENT; false
GI-107841; 1994-10-09; Engberts; Tesuro; FULL; false
GI-137677; 1988-06-14; Skafidas; Deniz; FULL; false
GI-127228; 1993-02-08; Perin; Xuejia; FULL; false
GI-131761; 1987-07-06; Minakawa; Xiaobin; STUDENT; false
GI-127225; 1986-08-21; Terkki; Nathan; FULL; true
GI-105559; 1988-09-11; Gore; Kokou; FULL; false
GI-119103; 1994-04-21; Czaja; Collette; REDUCED; false
GI-125778; 1988-02-11; Karner; Masato; EMERITUS; true
GI-110778; 1991-03-14; Spinelli; Elrique; REDUCED; false
GI-114103; 1989-07-14; Ramsay; Monique; STUDENT; true
GI-137794; 1994-11-05; Monarch; Toshiko; STUDENT; true
GI-138042; 1990-10-20; Siepmann; Xumin; FULL; true
GI-137613; 1998-03-18; Perin; Youjian; STUDENT; false
GI-136278; 1994-01-05; Keohane; Eishiro; FULL; false
GI-134981; 1990-08-06; Vidya; Baziley; REDUCED; false
GI-111919; 1995-12-15; Kalloufi; Tuval; EMERITUS; false
GI-114906; 1992-12-28; Pagter; Debatosh; FULL; true
GI-102372; 1986-10-11; Fordan; Masoud; STUDENT; true
GI-130264; 1994-07-26; Gips; Martien; EMERITUS; true
GI-105870; 1988-03-12; Cools; Kellyn; STUDENT; true
GI-125756; 1990-12-23; Panangaden; Kagan; FULL; false
GI-102629; 1991-07-20; Sewelson; Waiman; EMERITUS; true
GI-127937; 1995-06-09; Salvesen; Toshimo; EMERITUS; true
GI-130242; 1994-09-15; Kalloufi; Saniya; FULL; false
GI-110414; 1988-12-29; Yavatkar; Ronghao; REDUCED; false
GI-134191; 1991-03-21; Famili; Fares; FULL; true
GI-131599; 1987-09-29; Kriebel; Mechthild; EMERITUS; false
GI-118954; 1991-09-07; Hertweck; Gudjon; STUDENT; true
GI-102944; 1989-02-18; Farrow; Marsha; EMERITUS; true
GI-138489; 1989-04-14; Denos; Yannik; REDUCED; false
GI-113348; 1989-01-29; Ozeki; Kristinn; FULL; true
GI-103260; 1995-04-28; Hiltgen; Zejun; STUDENT; true
GI-118680; 1990-10-04; Marzano; Kasidit; REDUCED; false
GI-136456; 1993-07-14; Lung; Jixiang; FULL; false
GI-114567; 1993-10-07; Servieres; Uli; EMERITUS; false
GI-106417; 1986-07-01; Seiwald; Yuqun; FULL; true
GI-130287; 1987-04-30; Kinley; Mark; EMERITUS; true
GI-103866; 1986-03-31; Pelz; Adhemar; FULL; false
GI-139485; 1987-04-01; Vural; Luise; EMERITUS; false
GI-128290; 1994-12-25; Hagimont; Kerhong; FULL; true
GI-109365; 1994-06-03; Veccia; Jaana; STUDENT; false
GI-106408; 1986-04-23; Fasbender; Oscal; STUDENT; false
GI-119698; 1989-07-21; Oppitz; Yucai; FULL; true
GI-113491; 1994-12-11; Ermel; Joydip; REDUCED; false
GI-125363; 1986-02-09; Ernst; Gill; EMERITUS; true
GI-134960; 1996-11-01; Chinin; Dines; EMERITUS; true
GI-118151; 1991-12-05; Passino; Eben; EMERITUS; true
GI-127971; 1985-08-15; Gubsky; Neven; EMERITUS; false
GI-136066; 1985-12-16; Pettit; Magy; FULL; false
GI-135053; 1995-09-20; Garnham; Adly; FULL; false
GI-105269; 1994-10-08; Lundstrom; Kerryn; REDUCED; true
GI-123894; 1994-10-06; Bennis; Zhiwei; FULL; true
GI-123553; 1985-11-15; Kabayashi; Gregory; STUDENT; false
GI-103535; 1987-02-19; Picht; Yifei; FULL; false
GI-109827; 1992-05-27; Peral; Pasqua; FULL; false
GI-117381; 1985-05-24; Cusworth; Shimshon; STUDENT; false
GI-135512; 1987-11-10; Katiyar; Kiyokazu; REDUCED; false
GI-110512; 1987-06-25; Chvatal; Kazuhiro; REDUCED; true
GI-134524; 1995-04-18; Waleschkowski; Yuuichi; FULL; true
GI-102932; 1987-05-22; Sambasivam; Genki; EMERITUS; false
GI-120049; 1986-07-07; Berendt; Danny; FULL; false
GI-129053; 1985-07-31; Pesch; Kwangyoen; FULL; true
GI-137886; 1989-08-13; Douceur; Marit; FULL; false
GI-104456; 1991-09-25; Slobodova; Udo; EMERITUS; true
GI-120144; 1985-06-19; Valette; Jinxi; FULL; true
GI-130993; 1992-12-28; Heyers; Perla; REDUCED; false
GI-119627; 1991-04-13; Mandelberg; Freyja; EMERITUS; true
GI-114855; 1994-01-30; Smeets; Zhanqiu; EMERITUS; true
GI-118529; 1985-05-30; Schauser; True; EMERITUS; true
GI-132337; 1992-02-05; Krohn; Snehasis; FULL; true
GI-101163; 1996-08-05; Standera; Nathalie; FULL; false
GI-137902; 1995-04-21; Marrevee; Khedija; STUDENT; true
GI-105440; 1989-12-13; Lamba; Izaskun; REDUCED; false
GI-119381; 1986-03-16; Milicia; Jenwei; STUDENT; true
GI-137854; 1985-12-14; Akaboshi; Moon; EMERITUS; false
GI-102198; 1986-06-15; Narahara; Yongqiao; REDUCED; true
GI-116850; 1993-04-24; Chappelet; Kristin; EMERITUS; false
GI-138320; 1990-02-05; Zschoche; Marlo; EMERITUS; false
GI-127926; 1996-02-02; Remmers; Tesuya; REDUCED; true
GI-139342; 1989-10-10; Ermel; Doowon; EMERITUS; false
GI-102923; 1990-08-08; Narlikar; Shooichi; FULL; true
GI-101961; 1991-07-09; Narahara; Ronghao; FULL; false
GI-109672; 1996-04-12; Kambil; Zijian; FULL; false
GI-128918; 1988-02-08; Fairtlough; Nevin; EMERITUS; false
GI-138223; 1992-10-26; Brlek; Odoardo; EMERITUS; false
GI-123174; 1993-05-21; Reutenauer; Irena; EMERITUS; false
GI-130000; 1986-01-16; Eastman; Domenico; STUDENT; true
GI-105216; 1987-02-12; Asrin; Geoff; FULL; false
GI-124399; 1989-10-24; Nooteboom; Pramod; FULL; true
GI-112085; 1991-11-23; Ellozy; Yolla; STUDENT; false
GI-125195; 1991-09-19; Wynblatt; Mohammad; FULL; true
GI-130594; 1994-11-06; Menhoudj; Oksana; FULL; true
GI-135493; 1992-07-03; Ducloy; Seshu; STUDENT; false
GI-135598; 1993-12-13; Kaelbling; Petter; FULL; true
GI-102582; 1987-02-27; Wiegley; Leaf; EMERITUS; false
GI-125127; 1996-05-25; Pettit; Dinkar; STUDENT; false
GI-134430; 1986-03-17; Klassen; Baruch; REDUCED; true
GI-138246; 1995-12-08; Erev; Stepehn; FULL; false
GI-121067; 1985-07-15; Servieres; Elvis; REDUCED; true
GI-127139; 1993-03-08; Stiles; Matk; STUDENT; false
GI-111825; 1990-08-27; Lalonde; Leucio; FULL; true
GI-119228; 1994-05-21; Businaro; Stella; STUDENT; true
GI-117218; 1988-06-28; Syang; Chenyi; STUDENT; false
GI-110183; 1992-06-08; Dehkordi; Danil; REDUCED; false
GI-123437; 1991-09-07; Ramsey; Petter; FULL; true
GI-113358; 1992-06-03; Brickell; Khalid; FULL; false
GI-114952; 1996-10-24; Zweizig; Arra; STUDENT; true
GI-104711; 1995-03-11; Garnham; Susanta; FULL; false
GI-123330; 1991-08-16; Angelov; Breannda; FULL; true
GI-108818; 1988-02-03; Sankaranarayanan; Yoshinari; FULL; false
GI-116755; 1987-10-14; Muniz; Radoslaw; EMERITUS; true
GI-100418; 1988-08-26; Valtorta; Saniya; EMERITUS; true
GI-123602; 1989-11-28; Vidal; Shigeu; REDUCED; true
GI-108133; 1991-02-25; Schnelling; Sandeepan; REDUCED; true
GI-124590; 1988-03-25; Encarnacion; Weiwu; FULL; false
GI-106104; 1992-04-07; Rosiles; Xuejia; REDUCED; true
GI-138074; 1986-10-06; Daescu; Barna; FULL; true
GI-127502; 1986-02-19; Straney; Temple; FULL; true
GI-122634; 1989-11-06; Delgrange; Heekeun; FULL; true
GI-131510; 1989-01-27; Wrigley; Gao; FULL; true
GI-112981; 1989-10-03; Rubsam; Persi; FULL; false
GI-132918; 1995-07-11; Garnier; Martina; REDUCED; false
GI-111824; 1987-11-23; Cesareni; Stein; EMERITUS; true
GI-132864; 1985-08-27; Ramamoorthy; Mayuri; STUDENT; true
GI-136139; 1991-01-07; Whittlesey; Mountaz; REDUCED; true
GI-112833; 1986-09-10; Sichman; Kish; EMERITUS; true
GI-132941; 1991-06-18; Comyn; Wilmer; REDUCED; false
GI-105307; 1986-11-29; Vural; Guangming; FULL; true
GI-120480; 1986-07-12; Heyers; Yongdong; EMERITUS; false
GI-104155; 1985-10-24; Baak; Heon; FULL; true
GI-105995; 1987-07-15; Ferretti; Hein; FULL; true
GI-136762; 1989-07-23; Matzov; Uinam; FULL; false
GI-116744; 1995-06-20; Iisaka; Alagu; EMERITUS; true
GI-124531; 1999-06-24; Poulakidas; Jinxi; FULL; true
GI-127255; 1988-05-17; Kroll; Vishu; FULL; false
GI-120185; 1994-03-09; Greenaway; Szabolcs; EMERITUS; true
GI-100775; 1989-03-25; Mahnke; Guenter; FULL; true
GI-111946; 1990-07-06; Talmon; Leaf; FULL; true
GI-136451; 1987-07-17; Munoz; Kwangsub; EMERITUS; false
GI-111979; 1990-03-23; Petersohn; Uwe; EMERITUS; true
GI-139854; 1988-03-10; Marwedel; Tommaso; REDUCED; false
GI-111150; 1989-01-12; Rando; Udaiprakash; EMERITUS; false
GI-106582; 1993-06-21; Munoz; Chikara; REDUCED; true
